C++|肖江|1044|2|1000|65536|1&2&3&4&5&6&7&8&9&10
运行ID:129 用户:肖江  题号:1044 语言:C++
评测机文件路径：D:\OpenJudge\Judge\SEJudger.exe
评测机：SEJudger

Compiling[129]...
Compilation successful
Finish[129][01]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:4 [Correct], exitcode:0
Finish[129][02]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][03]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][04]: timeUsed:   0 ms  memoryUsed: 3408 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][05]: timeUsed:   0 ms  memoryUsed: 3400 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][06]: timeUsed:   0 ms  memoryUsed: 3400 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][07]: timeUsed:   0 ms  memoryUsed: 3408 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][08]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][09]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:8 [Wrong Answer], exitcode:0
Finish[129][10]: timeUsed:   0 ms  memoryUsed: 3404 kb  status:8 [Wrong Answer], exitcode:0
